best_estimate, highest_reliable_estimate, lowest_reliable_estimate
1, 1, 1
10, 30, 5
1, 1, 1
2, 2, 2
3, 3, 3
2, 2, 2
40, 40, 40
40, 40, 0
18, 48, 18
1, 1, 1
2, 2, 2
71, 91, 71
1, 1, 1
1, 1, 1
60, 60, 60
5, 5, 5
3, 3, 3
56, 56, 35
20, 20, 0
60, 114, 60
23, 23, 23
1, 1, 1
24, 24, 24
25, 25, 25
1, 1, 0
8, 8, 8
0, 15, 0
1, 1, 1
2, 2, 2
5, 5, 5
1, 1, 1
4, 4, 4
90, 90, 90
4, 4, 4
18, 18, 18
1, 1, 1
30, 30, 30
2, 2, 2
1, 1, 1
1, 1, 1
3, 3, 3
0, 3, 0
3, 3, 3
8, 8, 8
1, 1, 1
1, 1, 1
10, 10, 10
27, 27, 27
1, 1, 1
11, 11, 11
2, 2, 2
2, 2, 2
7, 7, 7
19, 19, 19
6, 6, 6
43, 43, 43
94, 94, 94
2, 2, 2
14, 14, 14
36, 236, 36
1, 1, 1
1, 1, 1
2, 2, 2
1, 1, 1
200, 200, 200
2, 2, 2
201, 201, 201
42, 42, 42
2, 2, 2
2, 2, 2
250, 250, 250
6, 6, 6
2, 2, 2
14, 14, 14
3, 3, 3
1, 1, 1
3, 3, 3
3, 3, 3
1, 1, 1
2, 2, 2
2, 2, 2
3, 3, 3
1, 1, 1
3, 3, 3
3, 3, 3
1, 1, 1
33, 33, 33
6, 6, 6
10, 10, 10
2, 2, 2
1, 1, 1
2, 3, 2
20, 20, 20
17, 17, 17
0, 613, 0
0, 3, 0
9, 9, 9
3, 3, 3
2, 2, 2
18, 18, 18
5, 5, 5
1, 1, 1
7, 7, 7
2, 2, 2
52, 52, 2
3, 3, 3
2, 2, 2
3, 3, 3
1, 1, 1
5, 5, 5
33, 33, 33
1, 1, 1
4, 4, 4
1, 1, 1
2, 2, 2
1, 1, 1
6, 6, 6
1, 1, 1
6, 6, 6
34, 34, 34
1, 1, 1
1, 1, 1
7, 7, 7
32, 32, 32
4, 4, 4
1, 1, 1
2, 2, 2
3, 3, 3
46, 46, 0
1, 1, 1
0, 11, 0
1, 1, 1
4, 4, 4
20, 20, 20
3, 3, 3
3, 3, 3
2, 2, 2
3, 3, 3
3, 3, 3
3, 3, 3
1, 1, 1
5, 5, 5
1, 1, 1
2, 2, 2
3, 3, 3
9, 9, 9
0, 3, 0
4, 4, 4
0, 9, 0
15, 15, 15
18, 18, 18
4, 4, 4
1, 1, 1
6, 6, 6
10, 10, 10
5, 5, 5
1, 1, 1
5, 5, 5
8, 8, 8
5, 5, 5
3, 3, 3
4, 4, 4
4, 4, 4
5, 5, 5
1, 1, 1
33, 33, 10
4, 4, 4
8, 8, 8
10, 10, 10
15, 15, 15
2, 2, 2
2, 2, 2
3, 3, 3
1, 1, 1
3, 3, 3
2, 2, 2
0, 1, 0
3, 4, 3
1, 1, 1
1, 1, 1
1, 1, 1
2, 4, 2
1, 1, 1
6, 6, 6
14, 14, 14
1, 1, 1
3, 3, 3
3, 3, 3
4, 4, 4
6, 6, 6
2, 2, 2
17, 17, 17
1, 1, 1
2, 2, 2
23, 23, 23
7, 7, 7
3, 3, 3
15, 15, 15
3, 3, 3
1, 1, 1
3, 3, 3
1, 1, 1
6, 6, 6
2, 2, 2
5, 5, 5
4, 4, 4
6, 6, 6
2, 2, 2
2, 2, 2
2, 2, 2
2, 2, 2
8, 8, 8
1, 1, 1
5, 5, 5
2, 2, 2
5, 5, 5
40, 40, 40
1, 1, 1
2, 2, 2
1, 1, 1
9, 9, 9
2, 2, 2
12, 12, 12
1, 1, 1
20, 54, 20
34, 34, 2
2, 2, 2
2, 2, 2
1, 1, 1
6, 6, 6
1, 1, 1
10, 10, 10
7, 7, 7
3, 3, 3
2, 2, 2
2, 2, 2
1, 1, 1
1, 1, 1
5, 5, 5
1, 5, 1
4, 4, 4
11, 11, 11
2, 2, 2
8, 8, 8
2, 2, 2
2, 2, 2
1, 1, 1
1, 1, 1
6, 6, 6
2, 3, 2
3, 3, 3
3, 3, 3
3, 3, 3
10, 10, 10
4, 4, 4
4, 5, 4
1, 1, 1
3, 3, 3
3, 3, 3
13, 13, 7
1, 1, 1
2, 2, 2
20, 20, 20
11, 11, 7
1, 1, 1
4, 4, 4
4, 4, 4
3, 3, 3
1, 1, 1
1, 1, 1
1, 1, 1
4, 4, 4
2, 2, 2
2, 2, 2
4, 4, 4
3, 3, 3
20, 120, 20
5, 5, 5
1, 1, 1
1, 1, 1
3, 3, 3
3, 24, 3
5, 5, 5
0, 73, 0
11, 11, 11
1, 1, 1
1, 1, 1
1, 1, 1
2, 2, 2
5, 5, 5
13, 13, 13
2, 2, 2
1, 1, 1
3, 3, 3
2, 2, 2
91, 91, 91
2, 2, 2
3, 3, 3
5, 5, 5
1, 1, 1
3, 4, 3
7, 7, 7
8, 8, 8
8, 8, 8
4, 4, 4
1, 1, 1
3, 3, 3
0, 47, 0
13, 13, 13
0, 1, 0
2, 2, 2
0, 60, 0
100, 100, 100
6, 6, 3
1, 1, 1
8, 8, 8
264, 264, 264
0, 32, 0
1, 1, 1
3, 3, 3
4, 4, 4
10, 10, 0
1, 1, 1
1, 1, 1
1, 1, 1
1, 1, 1
1, 1, 1
1, 1, 1
1, 1, 1
2, 2, 2
1, 1, 1
3, 3, 3
0, 7, 0
3, 3, 3
2, 2, 2
12, 12, 12
7, 7, 7
5, 5, 5
2, 2, 2
0, 3, 0
4, 4, 4
1, 1, 1
7, 7, 7
23, 23, 23
7, 9, 2
2, 2, 2
0, 218, 0
7, 7, 7
0, 24, 0
20, 20, 20
6, 6, 6
0, 26, 0
2, 2, 2
30, 30, 6
15, 15, 15
1, 1, 1
0, 5, 0
0, 8, 0
5, 10, 5
3, 3, 3
0, 43, 0
6, 6, 6
3, 3, 3
3, 3, 3
3, 3, 3
27, 27, 27
0, 7, 0
3, 3, 3
1, 1, 1
30, 50, 30
0, 7, 0
1, 1, 1
0, 1, 0
3, 3, 3
1, 1, 1
0, 52, 0
3, 3, 3
16, 16, 16
1, 1, 1
4, 4, 4
4, 4, 4
11, 11, 11
2, 2, 2
10, 10, 10
10, 10, 10
2, 4, 2
6, 6, 6
2, 2, 2
56, 56, 56
1, 1, 1
2, 2, 2
0, 3, 0
2, 10, 2
2, 2, 2
9, 9, 9
16, 16, 16
7, 7, 7
63, 63, 6
6, 6, 6
17, 17, 17
3, 3, 3
24, 24, 24
7, 7, 7
2, 2, 2
50, 50, 0
3, 3, 3
25, 25, 25
3, 3, 3
2, 2, 2
0, 5, 0
6, 6, 6
2, 2, 2
5, 5, 5
8, 8, 8
19, 19, 19
9, 9, 9
0, 5, 0
3, 3, 3
0, 6, 0
0, 8, 0
25, 25, 25
2, 2, 2
8, 8, 8
46, 46, 46
26, 26, 26
15, 15, 15
40, 40, 15
6, 6, 6
6, 6, 6
70, 70, 40
3, 3, 3
24, 300, 24
5, 5, 5
1, 1, 1
3, 3, 3
3, 3, 3
50, 50, 0
10, 10, 10
11, 15, 11
12, 12, 12
5, 5, 5
31, 31, 31
4, 4, 4
2, 2, 2
5, 5, 5
8, 8, 8
8, 8, 8
27, 27, 27
1, 1, 1
14, 14, 14
3, 3, 3
8, 8, 8
0, 24, 0
26, 26, 26
18, 18, 18
30, 30, 0
4, 4, 4
0, 252, 0
2, 2, 2
6, 6, 6
11, 11, 11
12, 12, 12
6, 6, 6
57, 57, 57
67, 67, 67
2, 2, 2
59, 59, 0
46, 91, 17
3, 3, 3
3, 3, 3
7, 7, 0
1, 1, 1
0, 50, 0
1, 1, 1
5, 5, 5
1, 1, 1
2, 2, 2
1, 1, 1
3, 3, 3
2, 2, 2
12, 12, 12
6, 6, 6
1, 1, 1
1, 1, 1
2, 2, 2
22, 22, 22
1, 1, 1
16, 20, 16
4, 4, 4
3, 3, 3
1, 1, 1
26, 26, 26
12, 12, 12
1, 1, 1
1, 1, 1
24, 24, 0
2, 2, 2
9, 9, 9
1, 1, 1
2, 2, 2
3, 3, 3
1, 1, 1
3, 3, 3
2, 2, 2
24, 24, 24
12, 12, 12
3, 3, 3
30, 200, 20
3, 3, 3
2, 2, 2
36, 36, 36
3, 3, 3
1, 1, 1
1, 1, 1
3, 3, 3
24, 24, 24
46, 46, 46
2, 2, 2
11, 11, 11
23, 34, 23
9, 9, 9
4, 4, 4
13, 13, 13
53, 53, 53
4, 4, 4
3, 3, 3
2, 2, 2
3, 3, 3
7, 7, 7
2, 2, 2
2, 2, 2
4, 4, 4
12, 12, 12
9, 9, 9
25, 25, 25
8, 8, 8
11, 11, 11
3, 3, 3
6, 6, 6
5, 5, 5
7, 7, 7
1, 1, 1
2, 2, 2
4, 4, 4
4, 4, 4
7, 7, 7
2, 2, 2
4, 4, 4
6, 6, 6
1, 1, 1
3, 3, 3
22, 22, 22
3, 3, 3
10, 10, 10
3, 3, 3
10, 10, 10
18, 19, 18
3, 3, 3
1, 1, 1
4, 4, 4
8, 8, 8
3, 3, 3
5, 5, 5
2, 2, 2
6, 6, 6
2, 2, 2
2, 2, 2
0, 1, 0
4, 4, 4
1, 1, 1
1, 1, 1
7, 7, 7
5, 5, 5
1, 1, 1
1, 1, 1
1, 1, 1
8, 8, 8
7, 7, 7
4, 4, 4
1, 1, 1
5, 5, 4
2, 2, 2
8, 8, 8
8, 8, 8
1, 1, 1
1, 1, 1
3, 3, 3
1, 1, 1
8, 8, 8
4, 4, 4
3, 3, 3
7, 7, 7
2, 2, 2
3, 3, 3
1, 1, 1
17, 17, 17
2, 2, 2
34, 34, 34
2, 2, 2
6, 6, 6
3, 3, 3
1, 1, 1
3, 3, 3
7, 7, 7
0, 17, 0
31, 31, 31
8, 8, 0
1, 1, 1
1, 1, 1
3, 3, 3
3, 3, 3
8, 8, 8
7, 7, 7
12, 20, 12
6, 6, 6
10, 10, 10
2, 2, 2
2, 2, 2
3, 103, 3
3, 103, 3
5, 5, 5
3, 3, 3
30, 30, 30
5, 5, 5
20, 20, 20
40, 40, 40
1, 1, 1
9, 9, 9
3, 3, 3
0, 73, 0
0, 150, 0
2, 2, 2
9, 9, 9
4, 4, 4
1, 1, 1
3, 3, 3
101, 134, 101
99, 109, 99
7, 7, 7
101, 101, 101
0, 4, 0
1, 1, 1
5, 5, 5
3, 3, 3
4, 4, 4
8, 8, 8
4, 4, 4
1, 1, 1
42, 42, 42
0, 1, 0
1, 1, 1
3, 3, 3
0, 5, 0
0, 4, 0
1, 1, 1
2, 2, 2
2, 2, 2
20, 20, 20
1, 1, 1
2, 2, 2
3, 3, 3
2, 2, 2
0, 11, 0
1, 1, 1
15, 15, 15
2, 2, 2
5, 5, 5
2, 2, 2
3, 3, 3
2, 2, 2
2, 2, 2
